Date,Open,High,Low,Close,Adj Close,Volume
2021-06-14,12150.000000,12439.000000,12140.000000,12287.139648,12287.139648,4027
2021-06-15,12236.709961,12270.000000,12000.000000,12012.740234,12012.740234,2805
2021-06-16,11976.009766,12334.990234,11930.360352,12310.469727,12310.469727,6113
2021-06-17,12320.000000,12700.000000,12320.000000,12628.190430,12628.190430,5571
2021-06-18,12585.839844,12989.799805,12585.839844,12798.870117,12798.870117,6275
2021-06-21,12865.000000,12950.009766,12550.009766,12724.209961,12724.209961,3638
2021-06-22,12799.990234,12909.990234,12699.950195,12721.629883,12721.629883,1376
2021-06-23,12800.000000,13300.000000,12800.000000,13245.139648,13245.139648,6492
2021-06-24,13400.000000,13960.000000,13370.110352,13535.709961,13535.709961,12739
2021-06-25,13697.379883,13697.379883,13298.000000,13347.309570,13347.309570,2363
2021-06-28,13419.990234,13735.000000,13360.000000,13643.299805,13643.299805,4122
2021-06-29,13652.000000,13652.000000,13385.250000,13468.330078,13468.330078,2104
2021-06-30,13545.980469,13791.769531,13520.009766,13551.000000,13551.000000,2839
2021-07-01,13650.000000,13700.000000,13500.000000,13531.349609,13531.349609,1458
2021-07-02,13500.000000,13889.990234,13345.500000,13404.459961,13404.459961,6298
2021-07-05,13440.000000,13440.000000,13358.000000,13358.000000,13358.000000,73
2021-07-06,13499.990234,13499.990234,13043.809570,13211.280273,13211.280273,3646
2021-07-07,13265.000000,13265.000000,12800.209961,12871.120117,12871.120117,4232
2021-07-08,12600.000000,13085.990234,12500.019531,13012.080078,13012.080078,2877
2021-07-09,13086.000000,13086.000000,12906.280273,13003.179688,13003.179688,1762
2021-07-12,13162.000000,13640.049805,13162.000000,13603.910156,13603.910156,50572
2021-07-13,13680.000000,13879.990234,13391.650391,13416.509766,13416.509766,48679
2021-07-14,13390.000000,13470.000000,12990.000000,13020.929688,13020.929688,2158
2021-07-15,13000.000000,13299.990234,12759.110352,12992.410156,12992.410156,1365
2021-07-16,12945.000000,12945.000000,12760.000000,12844.400391,12844.400391,2095
2021-07-19,12700.000000,12950.000000,12450.000000,12906.250000,12906.250000,3923
2021-07-20,12950.009766,13327.500000,12950.009766,13276.290039,13276.290039,958
2021-07-21,13276.000000,13419.990234,13120.000000,13189.429688,13189.429688,3192
2021-07-22,13181.000000,13250.000000,13001.009766,13071.629883,13071.629883,3014
2021-07-23,12934.339844,13038.349609,12765.009766,12940.950195,12940.950195,3359
2021-07-26,13099.000000,13350.000000,12954.030273,13197.389648,13197.389648,2502
2021-07-27,13363.620117,13363.620117,12545.000000,12873.929688,12873.929688,6616
2021-07-28,12860.000000,13047.000000,12799.969727,12908.150391,12908.150391,7068
2021-07-29,12890.000000,13556.500000,12890.000000,13454.969727,13454.969727,5233
2021-07-30,13427.000000,13849.980469,13279.400391,13602.019531,13602.019531,5275
2021-08-02,13880.000000,14411.099609,13836.669922,14097.809570,14097.809570,12844
2021-08-03,14158.959961,14388.000000,13950.009766,14068.900391,14068.900391,2993
2021-08-04,14128.000000,14445.000000,14050.009766,14216.070313,14216.070313,2160
2021-08-05,14224.990234,14350.000000,14190.000000,14251.679688,14251.679688,1823
2021-08-06,14172.120117,14200.000000,13999.200195,14010.110352,14010.110352,6407
2021-08-09,14180.000000,14401.000000,14100.000000,14357.349609,14357.349609,2239
2021-08-10,14350.000000,14379.980469,14150.049805,14263.379883,14263.379883,4668
2021-08-11,14120.019531,14190.000000,14050.009766,14089.669922,14089.669922,1170
2021-08-12,14057.000000,14390.500000,13901.580078,14373.610352,14373.610352,5549
2021-08-13,14350.000000,14499.990234,14206.019531,14219.320313,14219.320313,4964
2021-08-16,14000.000000,14000.000000,13458.009766,13603.820313,13603.820313,4198
2021-08-17,13499.000000,13499.000000,12950.009766,13282.740234,13282.740234,10038
2021-08-18,13500.000000,13900.000000,13500.000000,13785.429688,13785.429688,6985
2021-08-19,13591.519531,13700.009766,13549.990234,13582.780273,13582.780273,4238
2021-08-20,13989.990234,14100.000000,13800.000000,13859.990234,13859.990234,9184
2021-08-23,13879.080078,14510.009766,13879.080078,14369.780273,14369.780273,8890
2021-08-24,14305.009766,14520.000000,14261.009766,14315.379883,14315.379883,13105
2021-08-25,14315.019531,14550.000000,14315.019531,14421.450195,14421.450195,2153
